X,Y,objectid,name,location,address,zipcode,island,type
-155.079285293782,19.7197085558305,1,American Savings Bank,Hilo Branch,100 Pauahi St,96720,Hawaii,Bank
-157.861466776106,21.308420260727,2,American Savings Bank,Main Branch,1001 Bishop St.,96813,Oahu,Bank
-156.455070895258,20.8764926923805,3,American Savings Bank,Kahului Wal-Mart Branch,101 Pakaula St.,96732,Maui,Bank
-157.969363878772,21.39580180654,4,American Savings Bank,Pearl City Foodland Branch,1089 Wimano Home Rd,96782,Oahu,Bank
-155.063846285978,19.6953266468843,5,American Savings Bank,Prince Kuhio Branch,111 E. Puainako St.,96720,Hawaii,Bank
-157.975248991742,21.39834552733,6,American Savings Bank,Pearl City Wal-Mart Branch,1131 Kuala St.,96782,Oahu,Bank
-157.843121559962,21.3016842714573,7,American Savings Bank,Makiki Branch,1209 Piikoi St.,96814,Oahu,Bank
-157.861622270669,21.3203195576255,8,American Savings Bank,Liliha Branch,1425 Liliha ST,96817,Oahu,Bank
-157.842761343979,21.2894917791814,9,American Savings Bank,Ala Moana Center Branch,1450 Ala Moana Blvd,96814,Oahu,Bank
-156.680190416722,20.8776930159456,10,American Savings Bank,Lahaina Branch,154 Papalaua St.,96761,Maui,Bank
-157.83968423545,21.2919461615878,11,American Savings Bank,Kapiolani Branch,1600 Kapiolani Blvd,96814,Oahu,Bank
-157.869015420554,21.3356301830861,12,American Savings Bank,Kamehameha Shopping Center Branch,1620 N School,96817,Oahu,Bank
-157.8322855957,21.2957189178487,13,American Savings Bank,McCully Branch,1806 S King St,96826,Oahu,Bank
-157.877034871679,21.3315850196206,14,American Savings Bank,Kalihi Branch,1851 N King,96819,Oahu,Bank
-157.741102760632,21.3907569332427,15,American Savings Bank,Kailua Branch,200C Hamakua Dr,96734,Oahu,Bank
-157.826965583231,21.2800884487313,16,American Savings Bank,Waikiki Branch,2255 Kuhio Ave Suite 105,96815,Oahu,Bank
-157.820681029565,21.2991544419515,17,American Savings Bank,UH Campus Branch,2445 Campus Rd,96822,Oahu,Bank
-156.448928333773,20.7511501407906,18,American Savings Bank,Kihei Branch,255 Piikea Ave.,96753,Maui,Bank
-157.811190685609,21.3092522570809,19,American Savings Bank,Manoa Branch,2855 E Manoa Rd,96822,Oahu,Bank
-157.81398539643,21.2883304122057,20,American Savings Bank,Market City Foodland Branch,2939 Harding Ave,96816,Oahu,Bank
-157.807886044452,21.2871916537946,21,American Savings Bank,Kaimuki Shopping Center Branch,3221 Waialae Ave Suite B4,96816,Oahu,Bank
-159.381553399069,21.9717229477982,22,American Savings Bank,Kukui Grove Shopping Center Branch,3-2600 Kaumualii Hwy. #B16,96766,Kauai,Bank
-159.381553399069,21.9717229477982,23,American Savings Bank,Kukui Grove Shopping Center Branch,3-2600 Kaumualii Hwy. #B16,96766,Kauai,Bank
-157.708936889703,21.2852587251111,24,American Savings Bank,Hawaii Kai Branch,333 Keahole St.,96825,Oahu,Bank
-157.021958956546,21.0901801658673,25,American Savings Bank,Molokai Branch,40 Ala Malama St.,96748,Molokai,Bank
-157.787553157138,21.2785496745484,26,American Savings Bank,Kahala Branch,4211 Waialae Ave,96816,Oahu,Bank
-159.365904125371,21.9732923427949,27,American Savings Bank,Lihue Branch,4318 Rice St.,96766,Kauai,Bank
-159.365904125371,21.9732923427949,28,American Savings Bank,Lihue Branch,4318 Rice St.,96766,Kauai,Bank
-157.801766323391,21.4175791872101,29,American Savings Bank,Kaneohe Branch,45-1144 Kamehameha Hwy,96744,Oahu,Bank
-159.587821471216,21.9109848396869,30,American Savings Bank,Hanapepe Branch,4548 Kona Rd.,96716,Kauai,Bank
-157.798741550806,21.4027096982981,31,American Savings Bank,Windward City Branch,45-480 Kaneohe Bay Dr Bldg D10,96744,Oahu,Bank
-157.929010225308,21.3651573560137,32,American Savings Bank,Stadium Sack N Save Branch,4561 Salt Lake Blvd,96818,Oahu,Bank
-159.32174408942,22.0606495694104,33,American Savings Bank,Waipouli Foodland Branch,4-771 Kuhio Hwy.,96746,Kauai,Bank
-156.34217864791,20.8386771671735,34,American Savings Bank,Pukalani Branch,55 Pukalani St.,96768,Maui,Bank
-157.921515062235,21.647170971929,35,American Savings Bank,Laie Foodland Branch,55-510 Kamehameha Hwy,96762,Oahu,Bank
-158.028083996107,21.4965629380595,36,American Savings Bank,Wahiawa Branch,649 California Ave,96786,Oahu,Bank
-155.667002998326,20.0219928915532,37,American Savings Bank,Waimea Branch,65-1158 Mamalahoa Hwy.,96743,Hawaii,Bank
-158.103140312253,21.5878122675865,38,American Savings Bank,Haleiwa,66-197 Kamehameha Hwy,96712,Oahu,Bank
-157.861957229687,21.2976995291658,39,American Savings Bank,677 Ala Moana Blvd,677 Ala Moana Blvd,96813,Oahu,Bank
-156.50222300593,20.8888850814844,40,American Savings Bank,Wailuku Branch,69 N. Market St.,96793,Maui,Bank
-157.841883082948,21.2947571880516,41,American Savings Bank,Honolulu Wal-Mart Branch,700 Keeaumoku St.,96814,Oahu,Bank
-156.467812696903,20.8920818258494,42,American Savings Bank,Kahului Branch,73 Puunene Ave.,96732,Maui,Bank
-155.99451451995,19.6443562163669,43,American Savings Bank,Lanihau Sack N Save Branch,75-5595 Palani Road,96740,Hawaii,Bank
